query_id,model,provider,condition,run,latency_ms
Q19,mistral-devstral-2512,openrouter,without_rerank,1,81.92
Q19,mistral-devstral-2512,openrouter,without_rerank,2,53.74
Q19,mistral-devstral-2512,openrouter,without_rerank,3,75.17
Q20,mistral-devstral-2512,openrouter,without_rerank,1,29.1
Q20,mistral-devstral-2512,openrouter,without_rerank,2,29.82
Q20,mistral-devstral-2512,openrouter,without_rerank,3,30.46
Q1,qwen-2.5-coder-32b,openrouter,with_rerank,1,88.94
Q1,qwen-2.5-coder-32b,openrouter,with_rerank,2,60.39
Q1,qwen-2.5-coder-32b,openrouter,with_rerank,3,62.17
Q2,qwen-2.5-coder-32b,openrouter,with_rerank,1,104.23
Q2,qwen-2.5-coder-32b,openrouter,with_rerank,2,84.06
Q2,qwen-2.5-coder-32b,openrouter,with_rerank,3,85.73
Q3,qwen-2.5-coder-32b,openrouter,with_rerank,1,72.24
Q3,qwen-2.5-coder-32b,openrouter,with_rerank,2,56.17
Q3,qwen-2.5-coder-32b,openrouter,with_rerank,3,45.56
Q4,qwen-2.5-coder-32b,openrouter,with_rerank,1,96.34
Q4,qwen-2.5-coder-32b,openrouter,with_rerank,2,74.87
Q4,qwen-2.5-coder-32b,openrouter,with_rerank,3,72.68
Q5,qwen-2.5-coder-32b,openrouter,with_rerank,1,110.87
Q5,qwen-2.5-coder-32b,openrouter,with_rerank,2,91.97
Q5,qwen-2.5-coder-32b,openrouter,with_rerank,3,92.44
Q6,qwen-2.5-coder-32b,openrouter,with_rerank,1,91.18
Q6,qwen-2.5-coder-32b,openrouter,with_rerank,2,82.92
Q6,qwen-2.5-coder-32b,openrouter,with_rerank,3,72.32
Q7,qwen-2.5-coder-32b,openrouter,with_rerank,1,103.39
Q7,qwen-2.5-coder-32b,openrouter,with_rerank,2,89.66
Q7,qwen-2.5-coder-32b,openrouter,with_rerank,3,85.63
Q8,qwen-2.5-coder-32b,openrouter,with_rerank,1,90.65
Q8,qwen-2.5-coder-32b,openrouter,with_rerank,2,71.44
Q8,qwen-2.5-coder-32b,openrouter,with_rerank,3,70.87
Q9,qwen-2.5-coder-32b,openrouter,with_rerank,1,54.46
Q9,qwen-2.5-coder-32b,openrouter,with_rerank,2,38.54
Q9,qwen-2.5-coder-32b,openrouter,with_rerank,3,40.28
Q10,qwen-2.5-coder-32b,openrouter,with_rerank,1,59.05
Q10,qwen-2.5-coder-32b,openrouter,with_rerank,2,38.35
Q10,qwen-2.5-coder-32b,openrouter,with_rerank,3,38.81
Q11,qwen-2.5-coder-32b,openrouter,with_rerank,1,88.38
Q11,qwen-2.5-coder-32b,openrouter,with_rerank,2,67.64
Q11,qwen-2.5-coder-32b,openrouter,with_rerank,3,66.19
Q12,qwen-2.5-coder-32b,openrouter,with_rerank,1,64.2
Q12,qwen-2.5-coder-32b,openrouter,with_rerank,2,45.51
Q12,qwen-2.5-coder-32b,openrouter,with_rerank,3,46.29
Q13,qwen-2.5-coder-32b,openrouter,with_rerank,1,60.1
Q13,qwen-2.5-coder-32b,openrouter,with_rerank,2,43.82
Q13,qwen-2.5-coder-32b,openrouter,with_rerank,3,45.06
Q14,qwen-2.5-coder-32b,openrouter,with_rerank,1,85.78
Q14,qwen-2.5-coder-32b,openrouter,with_rerank,2,70.16
Q14,qwen-2.5-coder-32b,openrouter,with_rerank,3,67.94
Q15,qwen-2.5-coder-32b,openrouter,with_rerank,1,88.27
Q15,qwen-2.5-coder-32b,openrouter,with_rerank,2,79.5
Q15,qwen-2.5-coder-32b,openrouter,with_rerank,3,71.53
Q16,qwen-2.5-coder-32b,openrouter,with_rerank,1,57.95
Q16,qwen-2.5-coder-32b,openrouter,with_rerank,2,39.54
Q16,qwen-2.5-coder-32b,openrouter,with_rerank,3,39.37
Q17,qwen-2.5-coder-32b,openrouter,with_rerank,1,54.12
Q17,qwen-2.5-coder-32b,openrouter,with_rerank,2,38.58
Q17,qwen-2.5-coder-32b,openrouter,with_rerank,3,38.7
Q18,qwen-2.5-coder-32b,openrouter,with_rerank,1,58.68
Q18,qwen-2.5-coder-32b,openrouter,with_rerank,2,40.48
Q18,qwen-2.5-coder-32b,openrouter,with_rerank,3,39.96
Q19,qwen-2.5-coder-32b,openrouter,with_rerank,1,72.04
Q19,qwen-2.5-coder-32b,openrouter,with_rerank,2,52.54
Q19,qwen-2.5-coder-32b,openrouter,with_rerank,3,52.94
